instant,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
record_72,spring,2011yr,mar,no_holiday,weekday_0,not_workday,Clear,0.384348,0.380091,0.527391,0.270604,982,1435,2417
record_73,spring,2011yr,mar,no_holiday,weekday_1,workday,Clear,0.325217,0.332,0.496957,0.136926,359,1687,2046
record_74,spring,2011yr,mar,no_holiday,weekday_2,workday,Mist,0.317391,0.318178,0.655652,0.184309,289,1767,2056
record_75,spring,2011yr,mar,no_holiday,weekday_3,workday,Mist,0.365217,0.36693,0.776522,0.203117,321,1871,2192
record_76,spring,2011yr,mar,no_holiday,weekday_4,workday,Clear,0.415,0.410333,0.602917,0.209579,424,2320,2744
record_77,spring,2011yr,mar,no_holiday,weekday_5,workday,Clear,0.54,0.527009,0.525217,0.231017,884,2355,3239
record_78,spring,2011yr,mar,no_holiday,weekday_6,not_workday,Clear,0.4725,0.466525,0.379167,0.368167,1424,1693,3117
record_79,spring,2011yr,mar,no_holiday,weekday_0,not_workday,Clear,0.3325,0.32575,0.47375,0.207721,1047,1424,2471
record_80,summer,2011yr,mar,no_holiday,weekday_1,workday,Mist,0.430435,0.409735,0.737391,0.288783,401,1676,2077
record_81,summer,2011yr,mar,no_holiday,weekday_2,workday,Clear,0.441667,0.440642,0.624583,0.22575,460,2243,2703
record_82,summer,2011yr,mar,no_holiday,weekday_3,workday,Mist,0.346957,0.337939,0.839565,0.234261,203,1918,2121
record_83,summer,2011yr,mar,no_holiday,weekday_4,workday,Mist,0.285,0.270833,0.805833,0.243787,166,1699,1865
record_84,summer,2011yr,mar,no_holiday,weekday_5,workday,Clear,0.264167,0.256312,0.495,0.230725,300,1910,2210
record_85,summer,2011yr,mar,no_holiday,weekday_6,not_workday,Clear,0.265833,0.257571,0.394167,0.209571,981,1515,2496
record_86,summer,2011yr,mar,no_holiday,weekday_0,not_workday,Mist,0.253043,0.250339,0.493913,0.1843,472,1221,1693
record_87,summer,2011yr,mar,no_holiday,weekday_1,workday,Clear,0.264348,0.257574,0.302174,0.212204,222,1806,2028
record_88,summer,2011yr,mar,no_holiday,weekday_2,workday,Clear,0.3025,0.292908,0.314167,0.226996,317,2108,2425
record_89,summer,2011yr,mar,no_holiday,weekday_3,workday,Mist,0.3,0.29735,0.646667,0.172888,168,1368,1536
record_90,summer,2011yr,mar,no_holiday,weekday_4,workday,Light Snow-Light Rain,0.268333,0.257575,0.918333,0.217646,179,1506,1685
record_91,summer,2011yr,apr,no_holiday,weekday_5,workday,Mist,0.3,0.283454,0.68625,0.258708,307,1920,2227
record_92,summer,2011yr,apr,no_holiday,weekday_6,not_workday,Mist,0.315,0.315637,0.65375,0.197146,898,1354,2252
record_93,summer,2011yr,apr,no_holiday,weekday_0,not_workday,Clear,0.378333,0.378767,0.48,0.182213,1651,1598,3249
record_94,summer,2011yr,apr,no_holiday,weekday_1,workday,Clear,0.573333,0.542929,0.42625,0.385571,734,2381,3115
record_95,summer,2011yr,apr,no_holiday,weekday_2,workday,Mist,0.414167,0.39835,0.642083,0.388067,167,1628,1795
record_96,summer,2011yr,apr,no_holiday,weekday_3,workday,Clear,0.390833,0.387608,0.470833,0.263063,413,2395,2808
record_97,summer,2011yr,apr,no_holiday,weekday_4,workday,Clear,0.4375,0.433696,0.602917,0.162312,571,2570,3141
record_98,summer,2011yr,apr,no_holiday,weekday_5,workday,Mist,0.335833,0.324479,0.83625,0.226992,172,1299,1471
record_99,summer,2011yr,apr,no_holiday,weekday_6,not_workday,Mist,0.3425,0.341529,0.8775,0.133083,879,1576,2455
record_100,summer,2011yr,apr,no_holiday,weekday_0,not_workday,Mist,0.426667,0.426737,0.8575,0.146767,1188,1707,2895
record_101,summer,2011yr,apr,no_holiday,weekday_1,workday,Mist,0.595652,0.565217,0.716956,0.324474,855,2493,3348
record_102,summer,2011yr,apr,no_holiday,weekday_2,workday,Mist,0.5025,0.493054,0.739167,0.274879,257,1777,2034
record_103,summer,2011yr,apr,no_holiday,weekday_3,workday,Mist,0.4125,0.417283,0.819167,0.250617,209,1953,2162
record_104,summer,2011yr,apr,no_holiday,weekday_4,workday,Clear,0.4675,0.462742,0.540417,0.1107,529,2738,3267
record_105,summer,2011yr,apr,holiday,weekday_5,not_workday,Clear,0.446667,0.441913,0.67125,0.226375,642,2484,3126
record_106,summer,2011yr,apr,no_holiday,weekday_6,not_workday,Light Snow-Light Rain,0.430833,0.425492,0.888333,0.340808,121,674,795
record_107,summer,2011yr,apr,no_holiday,weekday_0,not_workday,Clear,0.456667,0.445696,0.479583,0.303496,1558,2186,3744
record_108,summer,2011yr,apr,no_holiday,weekday_1,workday,Clear,0.5125,0.503146,0.5425,0.163567,669,2760,3429
record_109,summer,2011yr,apr,no_holiday,weekday_2,workday,Mist,0.505833,0.489258,0.665833,0.157971,409,2795,3204
record_110,summer,2011yr,apr,no_holiday,weekday_3,workday,Clear,0.595,0.564392,0.614167,0.241925,613,3331,3944
record_111,summer,2011yr,apr,no_holiday,weekday_4,workday,Clear,0.459167,0.453892,0.407083,0.325258,745,3444,4189
record_112,summer,2011yr,apr,no_holiday,weekday_5,workday,Mist,0.336667,0.321954,0.729583,0.219521,177,1506,1683
record_113,summer,2011yr,apr,no_holiday,weekday_6,not_workday,Mist,0.46,0.450121,0.887917,0.230725,1462,2574,4036
record_114,summer,2011yr,apr,no_holiday,weekday_0,not_workday,Mist,0.581667,0.551763,0.810833,0.192175,1710,2481,4191
record_115,summer,2011yr,apr,no_holiday,weekday_1,workday,Clear,0.606667,0.5745,0.776667,0.185333,773,3300,4073
record_116,summer,2011yr,apr,no_holiday,weekday_2,workday,Clear,0.631667,0.594083,0.729167,0.3265,678,3722,4400
record_117,summer,2011yr,apr,no_holiday,weekday_3,workday,Mist,0.62,0.575142,0.835417,0.3122,547,3325,3872
record_118,summer,2011yr,apr,no_holiday,weekday_4,workday,Mist,0.6175,0.578929,0.700833,0.320908,569,3489,4058
record_119,summer,2011yr,apr,no_holiday,weekday_5,workday,Clear,0.51,0.497463,0.457083,0.240063,878,3717,4595
record_120,summer,2011yr,apr,no_holiday,weekday_6,not_workday,Clear,0.4725,0.464021,0.503333,0.235075,1965,3347,5312
record_121,summer,2011yr,may,no_holiday,weekday_0,not_workday,Mist,0.451667,0.448204,0.762083,0.106354,1138,2213,3351
record_122,summer,2011yr,may,no_holiday,weekday_1,workday,Mist,0.549167,0.532833,0.73,0.183454,847,3554,4401
record_123,summer,2011yr,may,no_holiday,weekday_2,workday,Mist,0.616667,0.582079,0.697083,0.342667,603,3848,4451
record_124,summer,2011yr,may,no_holiday,weekday_3,workday,Mist,0.414167,0.40465,0.737083,0.328996,255,2378,2633
record_125,summer,2011yr,may,no_holiday,weekday_4,workday,Clear,0.459167,0.441917,0.444167,0.295392,614,3819,4433
record_126,summer,2011yr,may,no_holiday,weekday_5,workday,Clear,0.479167,0.474117,0.59,0.228246,894,3714,4608
record_127,summer,2011yr,may,no_holiday,weekday_6,not_workday,Clear,0.52,0.512621,0.54125,0.16045,1612,3102,4714
record_128,summer,2011yr,may,no_holiday,weekday_0,not_workday,Clear,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333
record_129,summer,2011yr,may,no_holiday,weekday_1,workday,Clear,0.5325,0.525246,0.58875,0.176,664,3698,4362
record_130,summer,2011yr,may,no_holiday,weekday_2,workday,Clear,0.5325,0.522721,0.489167,0.115671,694,4109,4803
record_131,summer,2011yr,may,no_holiday,weekday_3,workday,Clear,0.5425,0.5284,0.632917,0.120642,550,3632,4182
record_132,summer,2011yr,may,no_holiday,weekday_4,workday,Clear,0.535,0.523363,0.7475,0.189667,695,4169,4864
record_133,summer,2011yr,may,no_holiday,weekday_5,workday,Mist,0.5125,0.4943,0.863333,0.179725,692,3413,4105
record_134,summer,2011yr,may,no_holiday,weekday_6,not_workday,Mist,0.520833,0.500629,0.9225,0.13495,902,2507,3409
record_135,summer,2011yr,may,no_holiday,weekday_0,not_workday,Mist,0.5625,0.536,0.867083,0.152979,1582,2971,4553
record_136,summer,2011yr,may,no_holiday,weekday_1,workday,Clear,0.5775,0.550512,0.787917,0.126871,773,3185,3958
record_137,summer,2011yr,may,no_holiday,weekday_2,workday,Mist,0.561667,0.538529,0.837917,0.277354,678,3445,4123
record_138,summer,2011yr,may,no_holiday,weekday_3,workday,Mist,0.55,0.527158,0.87,0.201492,536,3319,3855
record_139,summer,2011yr,may,no_holiday,weekday_4,workday,Mist,0.530833,0.510742,0.829583,0.108213,735,3840,4575
record_140,summer,2011yr,may,no_holiday,weekday_5,workday,Clear,0.536667,0.529042,0.719583,0.125013,909,4008,4917
record_141,summer,2011yr,may,no_holiday,weekday_6,not_workday,Clear,0.6025,0.571975,0.626667,0.12065,2258,3547,5805
record_142,summer,2011yr,may,no_holiday,weekday_0,not_workday,Clear,0.604167,0.5745,0.749583,0.148008,1576,3084,4660
record_143,summer,2011yr,may,no_holiday,weekday_1,workday,Mist,0.631667,0.590296,0.81,0.233842,836,3438,4274
record_144,summer,2011yr,may,no_holiday,weekday_2,workday,Mist,0.66,0.604813,0.740833,0.207092,659,3833,4492
record_145,summer,2011yr,may,no_holiday,weekday_3,workday,Clear,0.660833,0.615542,0.69625,0.154233,740,4238,4978
record_146,summer,2011yr,may,no_holiday,weekday_4,workday,Clear,0.708333,0.654688,0.6775,0.199642,758,3919,4677
record_147,summer,2011yr,may,no_holiday,weekday_5,workday,Clear,0.681667,0.637008,0.65375,0.240679,871,3808,4679
record_148,summer,2011yr,may,no_holiday,weekday_6,not_workday,Clear,0.655833,0.612379,0.729583,0.230092,2001,2757,4758
record_149,summer,2011yr,may,no_holiday,weekday_0,not_workday,Clear,0.6675,0.61555,0.81875,0.213938,2355,2433,4788
record_150,summer,2011yr,may,holiday,weekday_1,not_workday,Clear,0.733333,0.671092,0.685,0.131225,1549,2549,4098
record_151,summer,2011yr,may,no_holiday,weekday_2,workday,Clear,0.775,0.725383,0.636667,0.111329,673,3309,3982
record_152,summer,2011yr,jun,no_holiday,weekday_3,workday,Mist,0.764167,0.720967,0.677083,0.207092,513,3461,3974
record_153,summer,2011yr,jun,no_holiday,weekday_4,workday,Clear,0.715,0.643942,0.305,0.292287,736,4232,4968
record_154,summer,2011yr,jun,no_holiday,weekday_5,workday,Clear,0.62,0.587133,0.354167,0.253121,898,4414,5312
record_155,summer,2011yr,jun,no_holiday,weekday_6,not_workday,Clear,0.635,0.594696,0.45625,0.123142,1869,3473,5342
record_156,summer,2011yr,jun,no_holiday,weekday_0,not_workday,Mist,0.648333,0.616804,0.6525,0.138692,1685,3221,4906
record_157,summer,2011yr,jun,no_holiday,weekday_1,workday,Clear,0.678333,0.621858,0.6,0.121896,673,3875,4548
record_158,summer,2011yr,jun,no_holiday,weekday_2,workday,Clear,0.7075,0.65595,0.597917,0.187808,763,4070,4833
record_159,summer,2011yr,jun,no_holiday,weekday_3,workday,Clear,0.775833,0.727279,0.622083,0.136817,676,3725,4401
record_160,summer,2011yr,jun,no_holiday,weekday_4,workday,Mist,0.808333,0.757579,0.568333,0.149883,563,3352,3915
record_161,summer,2011yr,jun,no_holiday,weekday_5,workday,Clear,0.755,0.703292,0.605,0.140554,815,3771,4586
record_162,summer,2011yr,jun,no_holiday,weekday_6,not_workday,Clear,0.725,0.678038,0.654583,0.15485,1729,3237,4966
record_163,summer,2011yr,jun,no_holiday,weekday_0,not_workday,Clear,0.6925,0.643325,0.747917,0.163567,1467,2993,4460
record_164,summer,2011yr,jun,no_holiday,weekday_1,workday,Clear,0.635,0.601654,0.494583,0.30535,863,4157,5020
record_165,summer,2011yr,jun,no_holiday,weekday_2,workday,Clear,0.604167,0.591546,0.507083,0.269283,727,4164,4891
record_166,summer,2011yr,jun,no_holiday,weekday_3,workday,Clear,0.626667,0.587754,0.471667,0.167912,769,4411,5180
record_167,summer,2011yr,jun,no_holiday,weekday_4,workday,Mist,0.628333,0.595346,0.688333,0.206471,545,3222,3767
record_168,summer,2011yr,jun,no_holiday,weekday_5,workday,Clear,0.649167,0.600383,0.735833,0.143029,863,3981,4844
record_169,summer,2011yr,jun,no_holiday,weekday_6,not_workday,Clear,0.696667,0.643954,0.670417,0.119408,1807,3312,5119
record_170,summer,2011yr,jun,no_holiday,weekday_0,not_workday,Mist,0.699167,0.645846,0.666667,0.102,1639,3105,4744
record_171,summer,2011yr,jun,no_holiday,weekday_1,workday,Mist,0.635,0.595346,0.74625,0.155475,699,3311,4010
record_172,fall,2011yr,jun,no_holiday,weekday_2,workday,Mist,0.680833,0.637646,0.770417,0.171025,774,4061,4835
record_173,fall,2011yr,jun,no_holiday,weekday_3,workday,Clear,0.733333,0.693829,0.7075,0.172262,661,3846,4507
record_174,fall,2011yr,jun,no_holiday,weekday_4,workday,Mist,0.728333,0.693833,0.703333,0.238804,746,4044,4790
record_175,fall,2011yr,jun,no_holiday,weekday_5,workday,Clear,0.724167,0.656583,0.573333,0.222025,969,4022,4991
record_176,fall,2011yr,jun,no_holiday,weekday_6,not_workday,Clear,0.695,0.643313,0.483333,0.209571,1782,3420,5202
record_177,fall,2011yr,jun,no_holiday,weekday_0,not_workday,Clear,0.68,0.637629,0.513333,0.0945333,1920,3385,5305
record_178,fall,2011yr,jun,no_holiday,weekday_1,workday,Mist,0.6825,0.637004,0.658333,0.107588,854,3854,4708
record_179,fall,2011yr,jun,no_holiday,weekday_2,workday,Clear,0.744167,0.692558,0.634167,0.144283,732,3916,4648
record_180,fall,2011yr,jun,no_holiday,weekday_3,workday,Clear,0.728333,0.654688,0.497917,0.261821,848,4377,5225
record_181,fall,2011yr,jun,no_holiday,weekday_4,workday,Clear,0.696667,0.637008,0.434167,0.185312,1027,4488,5515
record_182,fall,2011yr,jul,no_holiday,weekday_5,workday,Clear,0.7225,0.652162,0.39625,0.102608,1246,4116,5362
record_183,fall,2011yr,jul,no_holiday,weekday_6,not_workday,Clear,0.738333,0.667308,0.444583,0.115062,2204,2915,5119
record_184,fall,2011yr,jul,no_holiday,weekday_0,not_workday,Mist,0.716667,0.668575,0.6825,0.228858,2282,2367,4649
record_185,fall,2011yr,jul,holiday,weekday_1,not_workday,Mist,0.726667,0.665417,0.637917,0.0814792,3065,2978,6043
record_186,fall,2011yr,jul,no_holiday,weekday_2,workday,Clear,0.746667,0.696338,0.590417,0.126258,1031,3634,4665
record_187,fall,2011yr,jul,no_holiday,weekday_3,workday,Clear,0.72,0.685633,0.743333,0.149883,784,3845,4629
record_188,fall,2011yr,jul,no_holiday,weekday_4,workday,Clear,0.75,0.686871,0.65125,0.1592,754,3838,4592
record_189,fall,2011yr,jul,no_holiday,weekday_5,workday,Mist,0.709167,0.670483,0.757917,0.225129,692,3348,4040
record_190,fall,2011yr,jul,no_holiday,weekday_6,not_workday,Clear,0.733333,0.664158,0.609167,0.167912,1988,3348,5336
record_191,fall,2011yr,jul,no_holiday,weekday_0,not_workday,Clear,0.7475,0.690025,0.578333,0.183471,1743,3138,4881
record_192,fall,2011yr,jul,no_holiday,weekday_1,workday,Clear,0.7625,0.729804,0.635833,0.282337,723,3363,4086
record_193,fall,2011yr,jul,no_holiday,weekday_2,workday,Clear,0.794167,0.739275,0.559167,0.200254,662,3596,4258
record_194,fall,2011yr,jul,no_holiday,weekday_3,workday,Clear,0.746667,0.689404,0.631667,0.146133,748,3594,4342
record_195,fall,2011yr,jul,no_holiday,weekday_4,workday,Clear,0.680833,0.635104,0.47625,0.240667,888,4196,5084
record_196,fall,2011yr,jul,no_holiday,weekday_5,workday,Clear,0.663333,0.624371,0.59125,0.182833,1318,4220,5538
record_197,fall,2011yr,jul,no_holiday,weekday_6,not_workday,Clear,0.686667,0.638263,0.585,0.208342,2418,3505,5923
record_198,fall,2011yr,jul,no_holiday,weekday_0,not_workday,Clear,0.719167,0.669833,0.604167,0.245033,2006,3296,5302
record_199,fall,2011yr,jul,no_holiday,weekday_1,workday,Clear,0.746667,0.703925,0.65125,0.215804,841,3617,4458
record_200,fall,2011yr,jul,no_holiday,weekday_2,workday,Clear,0.776667,0.747479,0.650417,0.1306,752,3789,4541
record_201,fall,2011yr,jul,no_holiday,weekday_3,workday,Clear,0.768333,0.74685,0.707083,0.113817,644,3688,4332
record_202,fall,2011yr,jul,no_holiday,weekday_4,workday,Mist,0.815,0.826371,0.69125,0.222021,632,3152,3784
record_203,fall,2011yr,jul,no_holiday,weekday_5,workday,Clear,0.848333,0.840896,0.580417,0.1331,562,2825,3387
record_204,fall,2011yr,jul,no_holiday,weekday_6,not_workday,Clear,0.849167,0.804287,0.5,0.131221,987,2298,3285
record_205,fall,2011yr,jul,no_holiday,weekday_0,not_workday,Clear,0.83,0.794829,0.550833,0.169171,1050,2556,3606
record_206,fall,2011yr,jul,no_holiday,weekday_1,workday,Clear,0.743333,0.720958,0.757083,0.0908083,568,3272,3840
record_207,fall,2011yr,jul,no_holiday,weekday_2,workday,Clear,0.771667,0.696979,0.540833,0.200258,750,3840,4590
record_208,fall,2011yr,jul,no_holiday,weekday_3,workday,Clear,0.775,0.690667,0.402917,0.183463,755,3901,4656
record_209,fall,2011yr,jul,no_holiday,weekday_4,workday,Clear,0.779167,0.7399,0.583333,0.178479,606,3784,4390
record_210,fall,2011yr,jul,no_holiday,weekday_5,workday,Clear,0.838333,0.785967,0.5425,0.174138,670,3176,3846
record_211,fall,2011yr,jul,no_holiday,weekday_6,not_workday,Clear,0.804167,0.728537,0.465833,0.168537,1559,2916,4475
record_212,fall,2011yr,jul,no_holiday,weekday_0,not_workday,Clear,0.805833,0.729796,0.480833,0.164813,1524,2778,4302
record_213,fall,2011yr,aug,no_holiday,weekday_1,workday,Clear,0.771667,0.703292,0.550833,0.156717,729,3537,4266
record_214,fall,2011yr,aug,no_holiday,weekday_2,workday,Clear,0.783333,0.707071,0.49125,0.20585,801,4044,4845
record_215,fall,2011yr,aug,no_holiday,weekday_3,workday,Mist,0.731667,0.679937,0.6575,0.135583,467,3107,3574
record_216,fall,2011yr,aug,no_holiday,weekday_4,workday,Mist,0.71,0.664788,0.7575,0.19715,799,3777,4576
record_217,fall,2011yr,aug,no_holiday,weekday_5,workday,Clear,0.710833,0.656567,0.630833,0.184696,1023,3843,4866
record_218,fall,2011yr,aug,no_holiday,weekday_6,not_workday,Mist,0.716667,0.676154,0.755,0.22825,1521,2773,4294
record_219,fall,2011yr,aug,no_holiday,weekday_0,not_workday,Clear,0.7425,0.715292,0.752917,0.201487,1298,2487,3785
record_220,fall,2011yr,aug,no_holiday,weekday_1,workday,Clear,0.765,0.703283,0.592083,0.192175,846,3480,4326
record_221,fall,2011yr,aug,no_holiday,weekday_2,workday,Clear,0.775,0.724121,0.570417,0.151121,907,3695,4602
record_222,fall,2011yr,aug,no_holiday,weekday_3,workday,Clear,0.766667,0.684983,0.424167,0.200258,884,3896,4780
