Sample	Category
MLVS_40	Industrialized
Lewis_1	Non_industrialized
Lewis_2	Non_industrialized
Lewis_3	Non_industrialized
Lewis_4	Non_industrialized
Lewis_5	Non_industrialized
Lewis_6	Non_industrialized
Lewis_7	Non_industrialized
Lewis_8	Non_industrialized
Lewis_9	Non_industrialized
Lewis_10	Non_industrialized
Lewis_11	Non_industrialized
Lewis_12	Industrialized
Lewis_13	Industrialized
Lewis_14	Industrialized
Lewis_15	Industrialized
Lewis_16	Industrialized
Lewis_17	Industrialized
Lewis_18	Industrialized
Lewis_19	Industrialized
Lewis_20	Industrialized
Lewis_21	Industrialized
Lewis_22	Industrialized
Lewis_23	Industrialized
Lewis_24	Industrialized
Lewis_25	Industrialized
Lewis_26	Industrialized
Lewis_27	Industrialized
Lewis_28	Non_industrialized
Lewis_29	Non_industrialized
Lewis_30	Non_industrialized
Lewis_31	Non_industrialized
Lewis_32	Non_industrialized
Lewis_33	Non_industrialized
Lewis_34	Non_industrialized
Lewis_35	Non_industrialized
Lewis_36	Non_industrialized
Lewis_37	Non_industrialized
Lewis_38	Non_industrialized
Lewis_39	Non_industrialized
Lewis_40	Non_industrialized
Lewis_41	Non_industrialized
Lewis_42	Non_industrialized
Lewis_43	Non_industrialized
Lewis_44	Non_industrialized
Lewis_45	Non_industrialized
Lewis_46	Non_industrialized
Lewis_47	Non_industrialized
Lewis_48	Non_industrialized
Lewis_49	Non_industrialized
Lewis_50	Non_industrialized
Lewis_51	Non_industrialized
Lewis_52	Non_industrialized
Lewis_53	Non_industrialized
Lewis_54	Non_industrialized
Lewis_55	Non_industrialized
Lewis_56	Non_industrialized
Lewis_57	Non_industrialized
Lewis_58	Non_industrialized
Lewis_59	Industrialized
Lewis_60	Industrialized
Lewis_61	Industrialized
Lewis_62	Industrialized
Lewis_63	Industrialized
Lewis_64	Industrialized
Lewis_65	Industrialized
Lewis_66	Industrialized
Lewis_67	Industrialized
Lewis_68	Industrialized
Lewis_69	Industrialized
Lewis_70	Industrialized
Lewis_71	Industrialized
Lewis_72	Industrialized
Lewis_73	Industrialized
Lewis_74	Industrialized
Lewis_75	Industrialized
Lewis_76	Industrialized
Lewis_77	Industrialized
Lewis_78	Industrialized
Lewis_79	Non_industrialized
Lewis_80	Non_industrialized
Lewis_81	Non_industrialized
Lewis_82	Non_industrialized
Lewis_83	Non_industrialized
Lewis_84	Non_industrialized
Lewis_85	Non_industrialized
Lewis_86	Non_industrialized
Lewis_87	Non_industrialized
Lewis_88	Non_industrialized
Lewis_89	Non_industrialized
Lewis_90	Non_industrialized
Lewis_91	Non_industrialized
Lewis_92	Non_industrialized
Lewis_93	Non_industrialized
Lewis_94	Non_industrialized
Lewis_95	Non_industrialized
Lewis_96	Non_industrialized
Lewis_97	Non_industrialized
Lewis_98	Non_industrialized
Lewis_99	Non_industrialized
Lewis_100	Non_industrialized
Lewis_101	Non_industrialized
Lewis_102	Industrialized
Lewis_103	Industrialized
Lewis_104	Industrialized
Lewis_105	Industrialized
Lewis_106	Non_industrialized
Lewis_107	Industrialized
Lewis_108	Non_industrialized
Lewis_109	Non_industrialized
Lewis_110	Industrialized
Lewis_111	Industrialized
Lewis_112	Industrialized
Lewis_113	Non_industrialized
Lewis_114	Non_industrialized
Lewis_115	Non_industrialized
Lewis_116	Non_industrialized
HMP_2	Industrialized
HMP_4	Industrialized
HMP_7	Industrialized
HMP_8	Industrialized
HMP_9	Industrialized
HMP_12	Industrialized
HMP_13	Industrialized
HMP_16	Industrialized
HMP_17	Industrialized
HMP_20	Industrialized
HMP_21	Industrialized
HMP_24	Industrialized
HMP_25	Industrialized
HMP_27	Industrialized
