instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
record_33,spring,2011yr,jan,hour_9,no_holiday,weekday_0,not_workday,Mist,0.38,0.3939,0.76,0.2239,1,19,20
record_34,spring,2011yr,jan,hour_10,no_holiday,weekday_0,not_workday,Mist,0.36,0.3485,0.81,0.2239,7,46,53
record_35,spring,2011yr,jan,hour_11,no_holiday,weekday_0,not_workday,Mist,0.36,0.3333,0.71,0.2537,16,54,70
record_36,spring,2011yr,jan,hour_12,no_holiday,weekday_0,not_workday,Mist,0.36,0.3333,0.66,0.2985,20,73,93
record_37,spring,2011yr,jan,hour_13,no_holiday,weekday_0,not_workday,Mist,0.36,0.3485,0.66,0.1343,11,64,75
record_38,spring,2011yr,jan,hour_14,no_holiday,weekday_0,not_workday,Light Snow-Light Rain,0.36,0.3485,0.76,0.194,4,55,59
record_39,spring,2011yr,jan,hour_15,no_holiday,weekday_0,not_workday,Light Snow-Light Rain,0.34,0.3333,0.81,0.1642,19,55,74
record_40,spring,2011yr,jan,hour_16,no_holiday,weekday_0,not_workday,Light Snow-Light Rain,0.34,0.3333,0.71,0.1642,9,67,76
record_41,spring,2011yr,jan,hour_17,no_holiday,weekday_0,not_workday,Clear,0.34,0.3333,0.57,0.194,7,58,65
record_42,spring,2011yr,jan,hour_18,no_holiday,weekday_0,not_workday,Mist,0.36,0.3333,0.46,0.3284,10,43,53
record_43,spring,2011yr,jan,hour_19,no_holiday,weekday_0,not_workday,Clear,0.32,0.2879,0.42,0.4478,1,29,30
record_44,spring,2011yr,jan,hour_20,no_holiday,weekday_0,not_workday,Clear,0.3,0.2727,0.39,0.3582,5,17,22
record_45,spring,2011yr,jan,hour_21,no_holiday,weekday_0,not_workday,Clear,0.26,0.2273,0.44,0.3284,11,20,31
record_46,spring,2011yr,jan,hour_22,no_holiday,weekday_0,not_workday,Clear,0.24,0.2121,0.44,0.2985,0,9,9
record_47,spring,2011yr,jan,hour_23,no_holiday,weekday_0,not_workday,Clear,0.22,0.2273,0.47,0.1642,0,8,8
record_48,spring,2011yr,jan,hour_0,no_holiday,weekday_1,workday,Clear,0.22,0.197,0.44,0.3582,0,5,5
record_49,spring,2011yr,jan,hour_1,no_holiday,weekday_1,workday,Clear,0.2,0.1667,0.44,0.4179,0,2,2
record_50,spring,2011yr,jan,hour_4,no_holiday,weekday_1,workday,Clear,0.16,0.1364,0.47,0.3881,0,1,1
record_51,spring,2011yr,jan,hour_5,no_holiday,weekday_1,workday,Clear,0.16,0.1364,0.47,0.2836,0,3,3
record_52,spring,2011yr,jan,hour_6,no_holiday,weekday_1,workday,Clear,0.14,0.1061,0.5,0.3881,0,30,30
record_53,spring,2011yr,jan,hour_7,no_holiday,weekday_1,workday,Clear,0.14,0.1364,0.5,0.194,1,63,64
record_54,spring,2011yr,jan,hour_8,no_holiday,weekday_1,workday,Clear,0.14,0.1212,0.5,0.2836,1,153,154
record_55,spring,2011yr,jan,hour_9,no_holiday,weekday_1,workday,Clear,0.16,0.1364,0.43,0.3881,7,81,88
record_56,spring,2011yr,jan,hour_10,no_holiday,weekday_1,workday,Clear,0.18,0.1667,0.43,0.2537,11,33,44
record_57,spring,2011yr,jan,hour_11,no_holiday,weekday_1,workday,Clear,0.2,0.1818,0.4,0.3284,10,41,51
record_58,spring,2011yr,jan,hour_12,no_holiday,weekday_1,workday,Clear,0.22,0.2121,0.35,0.2985,13,48,61
record_59,spring,2011yr,jan,hour_13,no_holiday,weekday_1,workday,Clear,0.24,0.2121,0.35,0.2836,8,53,61
record_60,spring,2011yr,jan,hour_14,no_holiday,weekday_1,workday,Clear,0.26,0.2424,0.3,0.2836,11,66,77
record_61,spring,2011yr,jan,hour_15,no_holiday,weekday_1,workday,Clear,0.26,0.2424,0.3,0.2537,14,58,72
record_62,spring,2011yr,jan,hour_16,no_holiday,weekday_1,workday,Clear,0.26,0.2424,0.3,0.2537,9,67,76
record_63,spring,2011yr,jan,hour_17,no_holiday,weekday_1,workday,Clear,0.24,0.2273,0.3,0.2239,11,146,157
record_64,spring,2011yr,jan,hour_18,no_holiday,weekday_1,workday,Clear,0.24,0.2576,0.32,0.1045,9,148,157
record_65,spring,2011yr,jan,hour_19,no_holiday,weekday_1,workday,Clear,0.2,0.2576,0.47,0,8,102,110
record_66,spring,2011yr,jan,hour_20,no_holiday,weekday_1,workday,Clear,0.2,0.2273,0.47,0.1045,3,49,52
record_67,spring,2011yr,jan,hour_21,no_holiday,weekday_1,workday,Clear,0.18,0.197,0.64,0.1343,3,49,52
record_68,spring,2011yr,jan,hour_22,no_holiday,weekday_1,workday,Clear,0.14,0.1515,0.69,0.1343,0,20,20
record_69,spring,2011yr,jan,hour_23,no_holiday,weekday_1,workday,Clear,0.18,0.2121,0.55,0.1045,1,11,12
record_70,spring,2011yr,jan,hour_0,no_holiday,weekday_2,workday,Clear,0.16,0.1818,0.55,0.1045,0,5,5
record_71,spring,2011yr,jan,hour_1,no_holiday,weekday_2,workday,Clear,0.16,0.1818,0.59,0.1045,0,2,2
record_72,spring,2011yr,jan,hour_2,no_holiday,weekday_2,workday,Clear,0.14,0.1515,0.63,0.1343,0,1,1
record_73,spring,2011yr,jan,hour_4,no_holiday,weekday_2,workday,Clear,0.14,0.1818,0.63,0.0896,0,2,2
record_74,spring,2011yr,jan,hour_5,no_holiday,weekday_2,workday,Clear,0.12,0.1515,0.68,0.1045,0,4,4
record_75,spring,2011yr,jan,hour_6,no_holiday,weekday_2,workday,Clear,0.12,0.1515,0.74,0.1045,0,36,36
record_76,spring,2011yr,jan,hour_7,no_holiday,weekday_2,workday,Clear,0.12,0.1515,0.74,0.1343,2,92,94
record_77,spring,2011yr,jan,hour_8,no_holiday,weekday_2,workday,Clear,0.14,0.1515,0.69,0.1642,2,177,179
record_78,spring,2011yr,jan,hour_9,no_holiday,weekday_2,workday,Clear,0.16,0.1515,0.64,0.2239,2,98,100
record_79,spring,2011yr,jan,hour_10,no_holiday,weekday_2,workday,Mist,0.16,0.1364,0.69,0.3284,5,37,42
record_80,spring,2011yr,jan,hour_11,no_holiday,weekday_2,workday,Clear,0.22,0.2121,0.51,0.2985,7,50,57
record_81,spring,2011yr,jan,hour_12,no_holiday,weekday_2,workday,Clear,0.22,0.2273,0.51,0.1642,12,66,78
record_82,spring,2011yr,jan,hour_13,no_holiday,weekday_2,workday,Clear,0.24,0.2273,0.56,0.194,18,79,97
record_83,spring,2011yr,jan,hour_14,no_holiday,weekday_2,workday,Clear,0.26,0.2576,0.52,0.2239,9,54,63
record_84,spring,2011yr,jan,hour_15,no_holiday,weekday_2,workday,Clear,0.28,0.2727,0.52,0.2537,17,48,65
record_85,spring,2011yr,jan,hour_16,no_holiday,weekday_2,workday,Clear,0.3,0.2879,0.49,0.2537,15,68,83
record_86,spring,2011yr,jan,hour_17,no_holiday,weekday_2,workday,Clear,0.28,0.2727,0.48,0.2239,10,202,212
record_87,spring,2011yr,jan,hour_18,no_holiday,weekday_2,workday,Clear,0.26,0.2576,0.48,0.194,3,179,182
record_88,spring,2011yr,jan,hour_19,no_holiday,weekday_2,workday,Clear,0.24,0.2576,0.48,0.1045,2,110,112
record_89,spring,2011yr,jan,hour_20,no_holiday,weekday_2,workday,Clear,0.24,0.2576,0.48,0.1045,1,53,54
record_90,spring,2011yr,jan,hour_21,no_holiday,weekday_2,workday,Clear,0.22,0.2727,0.64,0,0,48,48
record_91,spring,2011yr,jan,hour_22,no_holiday,weekday_2,workday,Clear,0.22,0.2576,0.64,0.0896,1,34,35
record_92,spring,2011yr,jan,hour_23,no_holiday,weekday_2,workday,Clear,0.2,0.2273,0.69,0.0896,2,9,11
record_93,spring,2011yr,jan,hour_0,no_holiday,weekday_3,workday,Clear,0.2,0.2576,0.64,0,0,6,6
record_94,spring,2011yr,jan,hour_1,no_holiday,weekday_3,workday,Clear,0.16,0.197,0.74,0.0896,0,6,6
record_95,spring,2011yr,jan,hour_2,no_holiday,weekday_3,workday,Clear,0.16,0.197,0.74,0.0896,0,2,2
record_96,spring,2011yr,jan,hour_4,no_holiday,weekday_3,workday,Clear,0.24,0.2273,0.48,0.2239,0,2,2
record_97,spring,2011yr,jan,hour_5,no_holiday,weekday_3,workday,Clear,0.22,0.2273,0.47,0.1642,0,3,3
record_98,spring,2011yr,jan,hour_6,no_holiday,weekday_3,workday,Clear,0.2,0.197,0.47,0.2239,0,33,33
record_99,spring,2011yr,jan,hour_7,no_holiday,weekday_3,workday,Clear,0.18,0.1818,0.43,0.194,1,87,88
record_100,spring,2011yr,jan,hour_8,no_holiday,weekday_3,workday,Clear,0.2,0.1818,0.4,0.2985,3,192,195
record_101,spring,2011yr,jan,hour_9,no_holiday,weekday_3,workday,Clear,0.22,0.197,0.37,0.3284,6,109,115
record_102,spring,2011yr,jan,hour_10,no_holiday,weekday_3,workday,Clear,0.22,0.197,0.37,0.3284,4,53,57
record_103,spring,2011yr,jan,hour_11,no_holiday,weekday_3,workday,Clear,0.26,0.2273,0.33,0.3284,12,34,46
record_104,spring,2011yr,jan,hour_12,no_holiday,weekday_3,workday,Clear,0.26,0.2273,0.33,0.3284,5,74,79
record_105,spring,2011yr,jan,hour_13,no_holiday,weekday_3,workday,Clear,0.28,0.2576,0.3,0.2985,6,65,71
record_106,spring,2011yr,jan,hour_14,no_holiday,weekday_3,workday,Clear,0.3,0.2879,0.28,0.194,10,52,62
record_107,spring,2011yr,jan,hour_15,no_holiday,weekday_3,workday,Clear,0.3,0.2879,0.28,0.194,7,55,62
record_108,spring,2011yr,jan,hour_16,no_holiday,weekday_3,workday,Clear,0.3,0.3182,0.28,0.0896,4,85,89
record_109,spring,2011yr,jan,hour_17,no_holiday,weekday_3,workday,Clear,0.24,0.2273,0.38,0.194,4,186,190
record_110,spring,2011yr,jan,hour_18,no_holiday,weekday_3,workday,Clear,0.24,0.2424,0.38,0.1343,3,166,169
record_111,spring,2011yr,jan,hour_19,no_holiday,weekday_3,workday,Clear,0.24,0.2576,0.38,0.1045,5,127,132
record_112,spring,2011yr,jan,hour_20,no_holiday,weekday_3,workday,Clear,0.22,0.2273,0.47,0.1642,7,82,89
record_113,spring,2011yr,jan,hour_21,no_holiday,weekday_3,workday,Clear,0.2,0.197,0.51,0.194,3,40,43
record_114,spring,2011yr,jan,hour_22,no_holiday,weekday_3,workday,Clear,0.18,0.197,0.55,0.1343,1,41,42
record_115,spring,2011yr,jan,hour_23,no_holiday,weekday_3,workday,Clear,0.2,0.2576,0.47,0,1,18,19
record_116,spring,2011yr,jan,hour_0,no_holiday,weekday_4,workday,Clear,0.18,0.2424,0.55,0,0,11,11
record_117,spring,2011yr,jan,hour_1,no_holiday,weekday_4,workday,Clear,0.16,0.2273,0.64,0,0,4,4
record_118,spring,2011yr,jan,hour_2,no_holiday,weekday_4,workday,Clear,0.16,0.2273,0.64,0,0,2,2
record_119,spring,2011yr,jan,hour_4,no_holiday,weekday_4,workday,Mist,0.16,0.197,0.64,0.0896,0,1,1
record_120,spring,2011yr,jan,hour_5,no_holiday,weekday_4,workday,Mist,0.14,0.1818,0.69,0.0896,0,4,4
record_121,spring,2011yr,jan,hour_6,no_holiday,weekday_4,workday,Mist,0.14,0.1667,0.63,0.1045,0,36,36
record_122,spring,2011yr,jan,hour_7,no_holiday,weekday_4,workday,Mist,0.16,0.2273,0.59,0,0,95,95
record_123,spring,2011yr,jan,hour_8,no_holiday,weekday_4,workday,Clear,0.16,0.2273,0.59,0,3,216,219
record_124,spring,2011yr,jan,hour_9,no_holiday,weekday_4,workday,Mist,0.18,0.2424,0.51,0,6,116,122
record_125,spring,2011yr,jan,hour_10,no_holiday,weekday_4,workday,Clear,0.2,0.2576,0.47,0,3,42,45
record_126,spring,2011yr,jan,hour_11,no_holiday,weekday_4,workday,Clear,0.22,0.2576,0.44,0.0896,2,57,59
record_127,spring,2011yr,jan,hour_12,no_holiday,weekday_4,workday,Clear,0.26,0.2879,0.35,0,6,78,84
record_128,spring,2011yr,jan,hour_13,no_holiday,weekday_4,workday,Clear,0.26,0.2727,0.35,0.1045,12,55,67
record_129,spring,2011yr,jan,hour_14,no_holiday,weekday_4,workday,Clear,0.28,0.2727,0.36,0.1642,11,59,70
record_130,spring,2011yr,jan,hour_15,no_holiday,weekday_4,workday,Clear,0.28,0.2727,0.36,0,8,54,62
record_131,spring,2011yr,jan,hour_16,no_holiday,weekday_4,workday,Clear,0.26,0.2576,0.38,0.1642,12,74,86
record_132,spring,2011yr,jan,hour_17,no_holiday,weekday_4,workday,Clear,0.22,0.2273,0.51,0.1642,9,163,172
record_133,spring,2011yr,jan,hour_18,no_holiday,weekday_4,workday,Clear,0.22,0.2273,0.51,0.1343,5,158,163
record_134,spring,2011yr,jan,hour_19,no_holiday,weekday_4,workday,Clear,0.22,0.2576,0.55,0.0896,3,109,112
record_135,spring,2011yr,jan,hour_20,no_holiday,weekday_4,workday,Clear,0.2,0.2121,0.51,0.1642,3,66,69
record_136,spring,2011yr,jan,hour_21,no_holiday,weekday_4,workday,Mist,0.22,0.2121,0.55,0.2239,0,48,48
record_137,spring,2011yr,jan,hour_22,no_holiday,weekday_4,workday,Mist,0.22,0.2121,0.51,0.2836,1,51,52
record_138,spring,2011yr,jan,hour_23,no_holiday,weekday_4,workday,Mist,0.2,0.197,0.59,0.194,4,19,23
record_139,spring,2011yr,jan,hour_0,no_holiday,weekday_5,workday,Mist,0.2,0.197,0.64,0.194,4,13,17
record_140,spring,2011yr,jan,hour_1,no_holiday,weekday_5,workday,Mist,0.2,0.197,0.69,0.2239,2,5,7
record_141,spring,2011yr,jan,hour_2,no_holiday,weekday_5,workday,Mist,0.2,0.197,0.69,0.2239,0,1,1
record_142,spring,2011yr,jan,hour_4,no_holiday,weekday_5,workday,Mist,0.2,0.2121,0.69,0.1343,0,1,1
record_143,spring,2011yr,jan,hour_5,no_holiday,weekday_5,workday,Light Snow-Light Rain,0.22,0.2727,0.55,0,0,5,5
record_144,spring,2011yr,jan,hour_6,no_holiday,weekday_5,workday,Mist,0.2,0.2576,0.69,0,8,26,34
record_145,spring,2011yr,jan,hour_7,no_holiday,weekday_5,workday,Clear,0.2,0.2121,0.69,0.1343,8,76,84
record_146,spring,2011yr,jan,hour_8,no_holiday,weekday_5,workday,Clear,0.2,0.197,0.51,0.2537,20,190,210
record_147,spring,2011yr,jan,hour_9,no_holiday,weekday_5,workday,Clear,0.2,0.1818,0.47,0.2985,9,125,134
record_148,spring,2011yr,jan,hour_10,no_holiday,weekday_5,workday,Clear,0.22,0.197,0.37,0.3284,16,47,63
record_149,spring,2011yr,jan,hour_11,no_holiday,weekday_5,workday,Mist,0.2,0.197,0.4,0.2239,19,48,67
record_150,spring,2011yr,jan,hour_12,no_holiday,weekday_5,workday,Mist,0.2,0.197,0.37,0.2537,9,50,59
record_151,spring,2011yr,jan,hour_13,no_holiday,weekday_5,workday,Mist,0.2,0.1818,0.37,0.2836,9,64,73
record_152,spring,2011yr,jan,hour_14,no_holiday,weekday_5,workday,Mist,0.2,0.197,0.4,0.2537,7,43,50
record_153,spring,2011yr,jan,hour_15,no_holiday,weekday_5,workday,Mist,0.2,0.2121,0.37,0.1642,9,63,72
record_154,spring,2011yr,jan,hour_16,no_holiday,weekday_5,workday,Mist,0.2,0.2121,0.37,0.1642,5,82,87
record_155,spring,2011yr,jan,hour_17,no_holiday,weekday_5,workday,Mist,0.2,0.2576,0.37,0,9,178,187
record_156,spring,2011yr,jan,hour_18,no_holiday,weekday_5,workday,Clear,0.2,0.2273,0.4,0.0896,7,116,123
record_157,spring,2011yr,jan,hour_19,no_holiday,weekday_5,workday,Clear,0.16,0.197,0.55,0.0896,3,92,95
record_158,spring,2011yr,jan,hour_20,no_holiday,weekday_5,workday,Clear,0.18,0.2121,0.47,0.1045,1,50,51
record_159,spring,2011yr,jan,hour_21,no_holiday,weekday_5,workday,Clear,0.18,0.197,0.47,0.1343,0,39,39
record_160,spring,2011yr,jan,hour_22,no_holiday,weekday_5,workday,Mist,0.18,0.197,0.43,0.1642,2,34,36
record_161,spring,2011yr,jan,hour_23,no_holiday,weekday_5,workday,Mist,0.18,0.197,0.51,0.1642,1,14,15
record_162,spring,2011yr,jan,hour_0,no_holiday,weekday_6,not_workday,Mist,0.18,0.197,0.51,0.1642,1,24,25
record_163,spring,2011yr,jan,hour_1,no_holiday,weekday_6,not_workday,Mist,0.18,0.2121,0.55,0.0896,1,15,16
record_164,spring,2011yr,jan,hour_2,no_holiday,weekday_6,not_workday,Mist,0.18,0.2424,0.55,0,3,13,16
record_165,spring,2011yr,jan,hour_3,no_holiday,weekday_6,not_workday,Light Snow-Light Rain,0.18,0.197,0.55,0.1642,0,7,7
record_166,spring,2011yr,jan,hour_4,no_holiday,weekday_6,not_workday,Light Snow-Light Rain,0.18,0.197,0.55,0.1642,0,1,1
record_167,spring,2011yr,jan,hour_5,no_holiday,weekday_6,not_workday,Mist,0.16,0.1667,0.74,0.1642,0,5,5
record_168,spring,2011yr,jan,hour_6,no_holiday,weekday_6,not_workday,Mist,0.16,0.1667,0.74,0.1642,0,2,2
record_169,spring,2011yr,jan,hour_7,no_holiday,weekday_6,not_workday,Mist,0.16,0.1818,0.74,0.1045,1,8,9
record_170,spring,2011yr,jan,hour_8,no_holiday,weekday_6,not_workday,Light Snow-Light Rain,0.16,0.1818,0.93,0.1045,0,15,15
record_171,spring,2011yr,jan,hour_9,no_holiday,weekday_6,not_workday,Light Snow-Light Rain,0.16,0.1818,0.93,0.1045,0,20,20
record_172,spring,2011yr,jan,hour_10,no_holiday,weekday_6,not_workday,Mist,0.18,0.197,0.8,0.1642,5,56,61
record_173,spring,2011yr,jan,hour_11,no_holiday,weekday_6,not_workday,Mist,0.2,0.1818,0.69,0.3881,2,60,62
record_174,spring,2011yr,jan,hour_12,no_holiday,weekday_6,not_workday,Mist,0.2,0.1818,0.59,0.3582,8,90,98
record_175,spring,2011yr,jan,hour_13,no_holiday,weekday_6,not_workday,Clear,0.2,0.1818,0.44,0.3284,7,95,102
record_176,spring,2011yr,jan,hour_14,no_holiday,weekday_6,not_workday,Clear,0.2,0.1667,0.32,0.4925,12,83,95
record_177,spring,2011yr,jan,hour_15,no_holiday,weekday_6,not_workday,Clear,0.2,0.1667,0.32,0.4478,5,69,74
record_178,spring,2011yr,jan,hour_16,no_holiday,weekday_6,not_workday,Clear,0.18,0.1364,0.29,0.4478,8,68,76
record_179,spring,2011yr,jan,hour_17,no_holiday,weekday_6,not_workday,Clear,0.16,0.1212,0.37,0.5522,5,64,69
record_180,spring,2011yr,jan,hour_18,no_holiday,weekday_6,not_workday,Clear,0.14,0.1212,0.39,0.2985,3,52,55
record_181,spring,2011yr,jan,hour_19,no_holiday,weekday_6,not_workday,Clear,0.14,0.1212,0.36,0.2537,4,26,30
record_182,spring,2011yr,jan,hour_20,no_holiday,weekday_6,not_workday,Clear,0.12,0.1212,0.36,0.2537,0,28,28
record_183,spring,2011yr,jan,hour_21,no_holiday,weekday_6,not_workday,Clear,0.12,0.1061,0.39,0.3582,2,35,37
record_184,spring,2011yr,jan,hour_22,no_holiday,weekday_6,not_workday,Clear,0.12,0.1061,0.36,0.3881,1,33,34
record_185,spring,2011yr,jan,hour_23,no_holiday,weekday_6,not_workday,Clear,0.1,0.0606,0.39,0.4478,0,22,22
record_186,spring,2011yr,jan,hour_0,no_holiday,weekday_0,not_workday,Clear,0.1,0.0758,0.42,0.3881,1,24,25
record_187,spring,2011yr,jan,hour_1,no_holiday,weekday_0,not_workday,Clear,0.1,0.0606,0.42,0.4627,0,12,12
record_188,spring,2011yr,jan,hour_2,no_holiday,weekday_0,not_workday,Clear,0.1,0.0606,0.46,0.4627,0,11,11
record_189,spring,2011yr,jan,hour_3,no_holiday,weekday_0,not_workday,Clear,0.1,0.0758,0.46,0.4179,0,4,4
record_190,spring,2011yr,jan,hour_4,no_holiday,weekday_0,not_workday,Clear,0.08,0.0909,0.53,0.194,0,1,1
record_191,spring,2011yr,jan,hour_5,no_holiday,weekday_0,not_workday,Clear,0.08,0.0909,0.53,0.194,0,1,1
record_192,spring,2011yr,jan,hour_6,no_holiday,weekday_0,not_workday,Clear,0.1,0.0909,0.49,0.2836,0,1,1
record_193,spring,2011yr,jan,hour_7,no_holiday,weekday_0,not_workday,Clear,0.08,0.0909,0.53,0.194,1,5,6
record_194,spring,2011yr,jan,hour_8,no_holiday,weekday_0,not_workday,Clear,0.1,0.0909,0.49,0.2836,0,10,10
record_195,spring,2011yr,jan,hour_9,no_holiday,weekday_0,not_workday,Clear,0.12,0.0758,0.46,0.5224,0,19,19
record_196,spring,2011yr,jan,hour_10,no_holiday,weekday_0,not_workday,Clear,0.14,0.1061,0.43,0.3881,0,49,49
record_197,spring,2011yr,jan,hour_11,no_holiday,weekday_0,not_workday,Clear,0.16,0.1212,0.4,0.5224,2,47,49
record_198,spring,2011yr,jan,hour_12,no_holiday,weekday_0,not_workday,Clear,0.18,0.1364,0.37,0.4478,4,79,83
record_199,spring,2011yr,jan,hour_13,no_holiday,weekday_0,not_workday,Clear,0.2,0.1667,0.34,0.4478,6,69,75
record_200,spring,2011yr,jan,hour_14,no_holiday,weekday_0,not_workday,Clear,0.22,0.1818,0.32,0.4627,8,64,72
record_201,spring,2011yr,jan,hour_15,no_holiday,weekday_0,not_workday,Clear,0.22,0.197,0.35,0.3582,5,77,82
record_202,spring,2011yr,jan,hour_16,no_holiday,weekday_0,not_workday,Clear,0.2,0.1667,0.34,0.4478,13,79,92
record_203,spring,2011yr,jan,hour_17,no_holiday,weekday_0,not_workday,Clear,0.18,0.1515,0.37,0.3881,3,59,62
record_204,spring,2011yr,jan,hour_18,no_holiday,weekday_0,not_workday,Clear,0.16,0.1364,0.4,0.3284,4,44,48
record_205,spring,2011yr,jan,hour_19,no_holiday,weekday_0,not_workday,Clear,0.16,0.1364,0.43,0.3284,1,40,41
record_206,spring,2011yr,jan,hour_20,no_holiday,weekday_0,not_workday,Clear,0.14,0.1212,0.46,0.2537,0,38,38
record_207,spring,2011yr,jan,hour_21,no_holiday,weekday_0,not_workday,Clear,0.14,0.1061,0.46,0.4179,1,19,20
record_208,spring,2011yr,jan,hour_22,no_holiday,weekday_0,not_workday,Clear,0.14,0.1212,0.46,0.2985,5,10,15
record_209,spring,2011yr,jan,hour_23,no_holiday,weekday_0,not_workday,Clear,0.12,0.1364,0.5,0.194,0,6,6
record_210,spring,2011yr,jan,hour_0,no_holiday,weekday_1,workday,Clear,0.12,0.1212,0.5,0.2836,2,3,5
record_211,spring,2011yr,jan,hour_1,no_holiday,weekday_1,workday,Clear,0.12,0.1212,0.5,0.2836,1,0,1
record_212,spring,2011yr,jan,hour_2,no_holiday,weekday_1,workday,Clear,0.12,0.1212,0.5,0.2239,0,3,3
record_213,spring,2011yr,jan,hour_3,no_holiday,weekday_1,workday,Clear,0.12,0.1212,0.5,0.2239,0,1,1
record_214,spring,2011yr,jan,hour_4,no_holiday,weekday_1,workday,Clear,0.1,0.1212,0.54,0.1343,1,2,3
record_215,spring,2011yr,jan,hour_5,no_holiday,weekday_1,workday,Clear,0.1,0.1061,0.54,0.2537,0,3,3
record_216,spring,2011yr,jan,hour_6,no_holiday,weekday_1,workday,Clear,0.12,0.1212,0.5,0.2836,0,31,31
record_217,spring,2011yr,jan,hour_7,no_holiday,weekday_1,workday,Clear,0.12,0.1212,0.5,0.2239,2,75,77
